ID,Category
0.JPEG,"('bathtub', 'n02808440')"
1.JPEG,"('orangutan', 'n02480495')"
10.JPEG,"('fly', 'n02190166')"
100.JPEG,"('spider_web', 'n04275548')"
1000.JPEG,"('Yorkshire_terrier', 'n02094433')"
10000.JPEG,"('chimpanzee', 'n02481823')"
10001.JPEG,"('spider_web', 'n04275548')"
10002.JPEG,"('chimpanzee', 'n02481823')"
10003.JPEG,"('chimpanzee', 'n02481823')"
10004.JPEG,"('spider_web', 'n04275548')"
10005.JPEG,"('school_bus', 'n04146614')"
10006.JPEG,"('baboon', 'n02486410')"
10007.JPEG,"('baboon', 'n02486410')"
10008.JPEG,"('candle', 'n02948072')"
10009.JPEG,"('hog', 'n02395406')"
1001.JPEG,"('mushroom', 'n07734744')"
10010.JPEG,"('chimpanzee', 'n02481823')"
10011.JPEG,"('chimpanzee', 'n02481823')"
10012.JPEG,"('baboon', 'n02486410')"
10013.JPEG,"('chimpanzee', 'n02481823')"
10014.JPEG,"('hog', 'n02395406')"
10015.JPEG,"('spider_web', 'n04275548')"
10016.JPEG,"('spider_web', 'n04275548')"
10017.JPEG,"('chimpanzee', 'n02481823')"
10018.JPEG,"('chimpanzee', 'n02481823')"
10019.JPEG,"('school_bus', 'n04146614')"
1002.JPEG,"('school_bus', 'n04146614')"
10020.JPEG,"('chimpanzee', 'n02481823')"
10021.JPEG,"('school_bus', 'n04146614')"
10022.JPEG,"('hog', 'n02395406')"
10023.JPEG,"('chimpanzee', 'n02481823')"
10024.JPEG,"('hog', 'n02395406')"
10025.JPEG,"('chimpanzee', 'n02481823')"
10026.JPEG,"('hog', 'n02395406')"
10027.JPEG,"('chimpanzee', 'n02481823')"
10028.JPEG,"('school_bus', 'n04146614')"
10029.JPEG,"('spider_web', 'n04275548')"
1003.JPEG,"('spider_web', 'n04275548')"
10030.JPEG,"('chimpanzee', 'n02481823')"
10031.JPEG,"('school_bus', 'n04146614')"
10032.JPEG,"('baboon', 'n02486410')"
10033.JPEG,"('chimpanzee', 'n02481823')"
10034.JPEG,"('chimpanzee', 'n02481823')"
10035.JPEG,"('chimpanzee', 'n02481823')"
10036.JPEG,"('hog', 'n02395406')"
10037.JPEG,"('chimpanzee', 'n02481823')"
10038.JPEG,"('hog', 'n02395406')"
10039.JPEG,"('chimpanzee', 'n02481823')"
1004.JPEG,"('school_bus', 'n04146614')"
10040.JPEG,"('chimpanzee', 'n02481823')"
10041.JPEG,"('chimpanzee', 'n02481823')"
10042.JPEG,"('chimpanzee', 'n02481823')"
10043.JPEG,"('hog', 'n02395406')"
10044.JPEG,"('spider_web', 'n04275548')"
10045.JPEG,"('chimpanzee', 'n02481823')"
10046.JPEG,"('baboon', 'n02486410')"
10047.JPEG,"('chimpanzee', 'n02481823')"
10048.JPEG,"('baboon', 'n02486410')"
10049.JPEG,"('chimpanzee', 'n02481823')"
1005.JPEG,"('mushroom', 'n07734744')"
10050.JPEG,"('chimpanzee', 'n02481823')"
10051.JPEG,"('chimpanzee', 'n02481823')"
10052.JPEG,"('hog', 'n02395406')"
10053.JPEG,"('Labrador_retriever', 'n02099712')"
10054.JPEG,"('beacon', 'n02814860')"
